gene_eQTL	Cell_Type_eQTL	ESF
LY6G6D	CD8+_T_Effector_Memory	0.0066225165562913
LY6G6E	CD8+_T_Effector_Memory	0.0033112582781456
MED19	CD8+_T_Effector_Memory	0.9933774834437086
MICB	CD8+_T_Effector_Memory	0.9900662251655628
MSH5	CD8+_T_Effector_Memory	0.956953642384106
NCR3	CD8+_T_Effector_Memory	0.9966887417218544
NELFE	CD8+_T_Effector_Memory	0.9966887417218544
NEU1	CD8+_T_Effector_Memory	1.0
NOTCH4	CD8+_T_Effector_Memory	0.8576158940397351
NRM	CD8+_T_Effector_Memory	0.9801324503311258
PACRG	CD8+_T_Effector_Memory	0.3344370860927152
PBX2	CD8+_T_Effector_Memory	0.9966887417218544
PHF1	CD8+_T_Effector_Memory	0.9966887417218544
PPP1R10	CD8+_T_Effector_Memory	1.0
PPT2	CD8+_T_Effector_Memory	0.9834437086092715
PRR3	CD8+_T_Effector_Memory	0.9933774834437086
PRRT1	CD8+_T_Effector_Memory	0.2913907284768212
PSMB8	CD8+_T_Effector_Memory	1.0
PSMB9	CD8+_T_Effector_Memory	1.0
QKI	CD8+_T_Effector_Memory	1.0
RGL2	CD8+_T_Effector_Memory	0.9933774834437086
RING1	CD8+_T_Effector_Memory	0.9966887417218544
RNF39	CD8+_T_Effector_Memory	0.0596026490066225
RNF5	CD8+_T_Effector_Memory	0.9933774834437086
RPS18	CD8+_T_Effector_Memory	1.0
RXRB	CD8+_T_Effector_Memory	0.9966887417218544
SAPCD1	CD8+_T_Effector_Memory	0.6821192052980133
SFR1	CD8+_T_Effector_Memory	0.9900662251655628
SFTA2	CD8+_T_Effector_Memory	0.1324503311258278
SKIV2L	CD8+_T_Effector_Memory	0.9966887417218544
SLC39A7	CD8+_T_Effector_Memory	0.9933774834437086
SLC44A4	CD8+_T_Effector_Memory	0.4105960264900662
SORCS3	CD8+_T_Effector_Memory	0.0562913907284768
STK19	CD8+_T_Effector_Memory	0.9966887417218544
SYNGAP1	CD8+_T_Effector_Memory	0.9966887417218544
TAP2	CD8+_T_Effector_Memory	1.0
TAPBP	CD8+_T_Effector_Memory	1.0
TRIM15	CD8+_T_Effector_Memory	0.0
TUBB	CD8+_T_Effector_Memory	0.9966887417218544
VPS52	CD8+_T_Effector_Memory	0.9966887417218544
WDR46	CD8+_T_Effector_Memory	0.9900662251655628
ZBTB12	CD8+_T_Effector_Memory	0.4072847682119205
ZBTB22	CD8+_T_Effector_Memory	0.9834437086092715
ZBTB9	CD8+_T_Effector_Memory	0.9072847682119204
ZNF311	CD8+_T_Effector_Memory	0.0231788079470198
ZNRD1	CD8+_T_Effector_Memory	0.9966887417218544
